d10 (mm),d50 (mm),d60 (mm),e,k (m/s)
0.37,0.94,1.3,0.6326564,0.0003553
0.18,0.48,0.64,0.6299051,0.000169
0.16,0.5,0.68,0.5885893,0.0001759
0.31,0.82,1,0.6523416,0.0004502
0.25,0.6,0.75,0.6689077,0.0003148
0.28,0.77,0.9,0.6531622,0.0002581
0.18,0.48,0.64,0.6299051,0.0002731
0.16,0.5,0.68,0.5885893,0.0001956
0.16,0.38,0.45,0.6834725,0.0002176
0.28,0.73,0.9,0.6531622,0.00039
0.3,0.9,1.2,0.6026122,0.0003275
0.2,0.53,0.69,0.6368719,0.0003692
0.21,0.4,0.43,0.7516746,0.0002454
0.21,0.7,0.9,0.5866582,0.0002731
0.31,0.9,1.2,0.6102115,0.0001782
0.28,1.1,1.4,0.5514593,0.0002905
0.28,0.4,0.5,0.7788071,0.0003102
0.16,1.14,1.44,0.4340408,0.0001458
0.22,0.65,0.81,0.6218245,0.0005197
0.3,0.58,0.7,0.7244074,0.0004028
0.24,1.21,1.36,0.5237215,0.000485
0.48,0.22,0.26,0.9437079,0.0001667
0.91,1.04,1.07,0.8512637,0.011
0.33,0.46,0.48,0.8164063,0.002
0.65,0.75,0.79,0.8461225,0.01
0.32,0.36,0.37,0.8538322,0.001
0.24,0.29,0.3,0.8416781,0.0007998
0.16,0.21,0.22,0.8260374,0.0002002
0.19,0.57,0.94,0.5538456,0.0002002
0.18,0.45,0.51,0.6818162,0.0002998
0.18,0.37,0.45,0.709526,0.0002002
0.54,1.75,1.97,0.6239529,0.009
0.5,0.65,0.8,0.44,0.0035
0.16,0.28,0.3,0.6,0.000096
0.01,0.02,0.03,0.38,7.20E-07
0.42,0.56,0.68,0.48,0.00056
0.33,0.47,0.55,0.52,0.00038
0.24,0.37,0.43,0.56,0.0002
0.38,0.49,0.61,0.43,0.0005
0.29,0.4,0.18,0.47,0.0002
0.21,0.31,0.36,0.51,0.00015
0.12,0.21,0.23,0.55,0.000038
0.26,0.33,0.41,0.41,0.00012
0.17,0.24,0.29,0.45,0.000067
0.09,0.15,0.16,0.49,0.000028
0.13,0.18,0.22,0.4,0.000046
0.05,0.08,0.1,0.44,0.000012
0.04,0.18,0.2,0.32,0.00002
0.03,0.16,19,0.39,0.000013
0.08,0.22,0.27,0.35,0.000013
0.07,0.2,0.25,0.38,0.000014
0.02,0.19,0.25,0.34,0.0000091
0.01,0.02,0.03,0.32,7.20E-07
0.5,0.65,0.8,0.6,0.0035
0.18,0.28,0.34,0.43,0.0003
0.15,0.23,0.28,0.44,0.000056
0.14,0.16,0.2,0.1,0.00077
0.2,0.325,0.395,0.923,0.000304
0.2,0.325,0.395,0.661,0.000104
0.2,0.325,0.395,0.613,0.000076
0.32,1.75,6,0.515,0.000292
0.32,1.75,6,0.362,0.000085
0.32,1.75,6,0.344,0.000071
0.23,12,16,0.499,0.000988
0.23,12,16,0.35,0.000702
0.23,12,16,0.3,0.000384
0.065,0.175,0.18,0.776,0.000028
0.065,0.175,0.18,0.698,0.000017
0.065,0.175,0.18,0.555,0.000008
0.155,0.49,0.6,0.748,0.000241
0.155,0.49,0.6,0.572,0.000082
0.155,0.49,0.6,0.515,0.000078
0.205,1.58,2.8,0.488,0.000278
0.205,1.58,2.8,0.355,0.000118
0.205,1.58,2.8,0.318,0.000025
0.195,3.25,6.9,0.808,0.00069
0.195,3.25,6.9,0.608,0.000194
0.195,3.25,6.9,0.634,0.000043
0.235,0.72,1.1,0.608,0.000315
0.235,0.72,1.1,0.412,0.000057
0.235,0.72,1.1,0.377,0.000035
